"head","tail","relation","label"
"关羽","刘备","younger_sworn_brother","义弟"
"张飞","刘备","younger_sworn_brother","义弟"
"关羽","张飞","elder_sworn_brother","义兄"
"张苞","张飞","son","儿子"
"关兴","关羽","son","儿子"
"关平","张苞","sworn","结拜"
"关平","关羽","adopted_son","义子"
"卢植","刘备","master","师傅"
"公孙瓒","刘备","friend","朋友"
"甘氏","刘备","wife","妻"
"刘禅","甘氏","son","儿子"
"诸葛瞻","刘禅","son_in_law","女婿"
"诸葛瞻","诸葛亮","son","儿子"
"诸葛亮","姜维","master","师傅"
"刘备","诸葛亮","lord","主公"
"黄月英","诸葛亮","wife","妻"
"黄承彦","黄月英","father","父亲"
"诸葛瑾","诸葛亮","elder_brother","哥哥"
"公孙越","公孙瓒","younger_brother","弟弟"
"刘备","马超","lord","主公"
"马腾","马超","father","父亲"
"公孙越","公孙瓒","younger_brother","弟弟"
"韩遂","马腾","sworn","结拜"
"马腾","马超","father","父亲"
"刘备","徐庶","lord","主公"
"曹操","徐庶","lord","主公"
"刘胜","刘启","son","儿子"
"刘辩","刘启","same_clan","同族"
"甘氏","刘备","wife","妻"
"刘禅","甘氏","son","儿子"
"诸葛瞻","刘禅","son_in_law","女婿"
"刘备","姜维","lord","主公"
"诸葛瞻","诸葛亮","son","儿子"
"姜维","诸葛亮","apprentice","徒弟"
"刘备","诸葛亮","lord","主公"
"孙权","诸葛瑾","lord","主公"
"孙尚香","刘备","concubine","妾"
"糜氏","刘备","concubine","妾"
"糜芳","糜氏","elder_brother","哥哥"
"糜竺","糜芳","elder_brother","哥哥"
"刘备","糜芳","lord","主公"
"刘备","糜竺","lord","主公"
"刘备","魏延","lord","主公"
"刘备","赵云","lord","主公"
"刘备","黄忠","lord","主公"
"刘备","庞统","lord","主公"
"刘备","法正","lord","主公"
"刘备","蒋琬","lord","主公"
"刘备","马良","lord","主公"
"刘备","孟获","lord","主公"
"刘备","沙摩柯","lord","主公"
"庞德公","庞统","uncle","叔叔"
"马谡","马良","younger_brother","弟弟"
"祝融","孟获","wife","妻"
"孙韶","孙策","son","儿子"
"孙氏","陆逊","wife","妻"
"孙氏","孙策","daughter","女儿"
"刘协","刘辩","demise","让位"
"董卓","刘协","minister","臣"
"王允","刘协","minister","臣"
"貂蝉","王允","adopted_daughter","义女"
"貂蝉","吕布","concubine","妾"
"丁原","吕布","adoptive_father","义父"
"董卓","吕布","adoptive_father","义父"
"吕布","高顺","lord","主公"
"吕布","陈宫","lord","主公"
"吕布","张辽","lord","主公"
"曹操","张辽","lord","主公"
"刘表","刘协","same_clan","同族"
"蔡氏","刘表","wife","妻"
"蔡瑁","蔡氏","younger_brother","弟弟"
"蒯越","蔡瑁","friend","朋友"
"曹操","蒯越","lord","主公"
"刘表","黄祖","lord","主公"
"刘表","文聘","lord","主公"
"曹操","蔡瑁","lord","主公"
"张宝","张角","younger_brother","弟弟"
"张梁","张宝","younger_brother","弟弟"
"袁绍","刘协","princess","诸侯"
"袁术","袁绍","younger_brother","弟弟"
"袁谭","袁绍","son","儿子"
"袁熙","袁谭","younger_brother","弟弟"
"袁尚","袁熙","younger_brother","弟弟"
"孙尚香","吴国太","daughter","女儿"
"吴国太","孙坚","wife","妻"
"孙策","孙坚","son","儿子"
"孙权","孙策","younger_brother","弟弟"
"大乔","孙策","concubine","妾"
"小乔","大乔","younger_sister","妹妹"
"周瑜","小乔","husband","夫"
"孙权","周瑜","lord","主公"
"孙权","陆逊","lord","主公"
"大乔","陆逊","mother_in_law","岳母"
"孙权","丁奉","lord","主公"
"孙权","徐盛","lord","主公"
"孙权","鲁肃","lord","主公"
"孙权","张昭","lord","主公"
"孙权","蒋钦","lord","主公"
"孙权","太史慈","lord","主公"
"孙权","周泰","lord","主公"
"孙权","凌统","lord","主公"
"孙权","吕蒙","lord","主公"
"孙权","甘宁","lord","主公"
"孙权","黄盖","lord","主公"
"孙权","韩当","lord","主公"
"孙权","程普","lord","主公"
"曹嵩","曹操","father","父亲"
"吕伯奢","曹嵩","sworn","结拜"
"邹氏","曹操","concubine","妾"
"邹氏","张绣","sister_in_law","嫂子"
"曹操","张绣","lord","主公"
"清河公主","曹操","daughter","女儿"
"夏侯楙","清河公主","husband","夫"
"夏侯渊","夏侯楙","father","父亲"
"夏侯渊","夏侯淳","son_of_uncle","堂弟"
"曹操","夏侯淳","same_clan","同族"
"曹操","夏侯淳","lord","主公"
"曹操","夏侯渊","same_clan","同族"
"曹操","夏侯渊","lord","主公"
"曹操","曹真","adoptive_father","义父"
"曹爽","曹真","son","儿子"
"曹操","郭嘉","lord","主公"
"曹操","徐晃","lord","主公"
"曹操","乐进","lord","主公"
"曹操","张郃","lord","主公"
"曹操","许褚","lord","主公"
"曹操","典韦","lord","主公"
"曹操","荀彧","lord","主公"
"曹操","荀攸","lord","主公"
"荀彧","荀攸","uncle","叔叔"
"曹操","贾诩","lord","主公"
"曹操","司马懿","lord","主公"
"曹操","程昱","lord","主公"
"曹操","于禁","lord","主公"
"曹操","邓艾","lord","主公"
"曹操","钟会","lord","主公"
"曹操","庞德","lord","主公"
"司马师","司马懿","son","儿子"
"司马昭","司马师","younger_brother","弟弟"
"司马昭","司马懿","son","儿子"
"司马炎","司马昭","son","儿子"
"曹仁","曹操","same_clan","同族"
"曹纯","曹仁","younger_brother","弟弟"
"曹昂","曹操","son","儿子"
"刘氏","曹操","wife","妻子"
"超昂","刘氏","son","儿子"
"卞氏","曹操","wife","妻子"
"曹丕","卞氏","son","儿子"
"曹植","曹丕","younger_brother","弟弟"
"马谡","诸葛亮","colleague","同事"
"马谡","刘备","minister","臣"
"孙坚","孙权","father","父亲"
"吴国太","孙权","mother","母亲"
